stock_name,% of Shares Held by All Insider,% of Shares Held by Institutions,% of Float Held by Institutions,Number of Institutions Holding Shares,Vanguard Group Inc,Blackrock Inc.,State Street Corporation,"Geode Capital Management, LLC",Capital World Investors,Norges Bank Investment Management,Morgan Stanley,"FMR, LLC",JP Morgan Chase & Company,Northern Trust Corporation
"Tesla, Inc. (TSLA)",13.00%,44.81%,51.50%,"3,773","{'Shares': '225,940,011', 'Date Reported': 'Sep 29, 2023', '% Out': '7.09%', 'Value': '41,324,426,632'}","{'Shares': '186,653,186', 'Date Reported': 'Sep 29, 2023', '% Out': '5.86%', 'Value': '34,138,866,580'}","{'Shares': '104,861,369', 'Date Reported': 'Sep 29, 2023', '% Out': '3.29%', 'Value': '19,179,143,750'}","{'Shares': '53,875,703', 'Date Reported': 'Sep 29, 2023', '% Out': '1.69%', 'Value': '9,853,865,749'}","{'Shares': '41,103,054', 'Date Reported': 'Sep 29, 2023', '% Out': '1.29%', 'Value': '7,517,748,325'}","{'Shares': '31,570,978', 'Date Reported': 'Dec 30, 2023', '% Out': '0.99%', 'Value': '5,774,331,683'}","{'Shares': '30,160,747', 'Date Reported': 'Sep 29, 2023', '% Out': '0.95%', 'Value': '5,516,400,442'}","{'Shares': '29,040,734', 'Date Reported': 'Sep 29, 2023', '% Out': '0.91%', 'Value': '5,311,550,071'}","{'Shares': '27,826,540', 'Date Reported': 'Dec 30, 2023', '% Out': '0.87%', 'Value': '5,089,473,996'}","{'Shares': '27,542,824', 'Date Reported': 'Sep 29, 2023', '% Out': '0.86%', 'Value': '5,037,582,341'}"
Apple Inc. (AAPL),6.00%,56.10%,59.68%,"6,024","{'Shares': '1,299,997,133', 'Date Reported': 'Sep 29, 2023', '% Out': '8.42%', 'Value': '238,837,815,554'}","{'Shares': '1,031,407,553', 'Date Reported': 'Sep 29, 2023', '% Out': '6.68%', 'Value': '189,492,053,983'}","{'Shares': '569,291,690', 'Date Reported': 'Sep 29, 2023', '% Out': '3.69%', 'Value': '104,591,295,012'}","{'Shares': '296,103,070', 'Date Reported': 'Sep 29, 2023', '% Out': '1.92%', 'Value': '54,400,589,526'}",,"{'Shares': '176,141,203', 'Date Reported': 'Dec 30, 2023', '% Out': '1.14%', 'Value': '32,360,979,178'}","{'Shares': '206,732,960', 'Date Reported': 'Sep 29, 2023', '% Out': '1.34%', 'Value': '37,981,351,893'}","{'Shares': '298,321,726', 'Date Reported': 'Sep 29, 2023', '% Out': '1.93%', 'Value': '54,808,205,004'}",,"{'Shares': '168,874,976', 'Date Reported': 'Sep 29, 2023', '% Out': '1.09%', 'Value': '31,026,014,862'}"
"Netflix, Inc. (NFLX)",1.38%,85.10%,86.30%,"2,888","{'Shares': '36,260,284', 'Date Reported': 'Sep 29, 2023', '% Out': '8.38%', 'Value': '20,000,448,068'}","{'Shares': '29,970,188', 'Date Reported': 'Sep 29, 2023', '% Out': '6.93%', 'Value': '16,530,956,809'}","{'Shares': '16,277,017', 'Date Reported': 'Sep 29, 2023', '% Out': '3.76%', 'Value': '8,978,077,315'}","{'Shares': '8,538,227', 'Date Reported': 'Sep 29, 2023', '% Out': '1.97%', 'Value': '4,709,515,394'}","{'Shares': '11,666,316', 'Date Reported': 'Sep 29, 2023', '% Out': '2.70%', 'Value': '6,434,906,778'}",,,"{'Shares': '22,384,548', 'Date Reported': 'Sep 29, 2023', '% Out': '5.17%', 'Value': '12,346,869,368'}","{'Shares': '9,288,971', 'Date Reported': 'Dec 30, 2023', '% Out': '2.15%', 'Value': '5,123,610,782'}",
"Amazon.com, Inc. (AMZN)",9.56%,61.61%,68.12%,"5,809","{'Shares': '757,951,795', 'Date Reported': 'Sep 29, 2023', '% Out': '7.30%', 'Value': '127,411,701,365'}","{'Shares': '613,380,364', 'Date Reported': 'Sep 29, 2023', '% Out': '5.91%', 'Value': '103,109,242,932'}","{'Shares': '332,449,318', 'Date Reported': 'Sep 29, 2023', '% Out': '3.20%', 'Value': '55,884,732,384'}","{'Shares': '176,207,050', 'Date Reported': 'Sep 29, 2023', '% Out': '1.70%', 'Value': '29,620,406,180'}",,"{'Shares': '116,496,979', 'Date Reported': 'Dec 30, 2023', '% Out': '1.12%', 'Value': '19,583,142,880'}","{'Shares': '149,541,288', 'Date Reported': 'Sep 29, 2023', '% Out': '1.44%', 'Value': '25,137,891,425'}","{'Shares': '302,101,441', 'Date Reported': 'Sep 29, 2023', '% Out': '2.91%', 'Value': '50,783,254,075'}","{'Shares': '164,160,066', 'Date Reported': 'Dec 30, 2023', '% Out': '1.58%', 'Value': '27,595,308,096'}","{'Shares': '92,329,336', 'Date Reported': 'Sep 29, 2023', '% Out': '0.89%', 'Value': '15,520,561,945'}"
Alphabet Inc. (GOOGL),0.28%,80.22%,80.45%,"5,469","{'Shares': '487,435,495', 'Date Reported': 'Sep 29, 2023', '% Out': '8.24%', 'Value': '70,229,707,012'}","{'Shares': '410,944,231', 'Date Reported': 'Sep 29, 2023', '% Out': '6.94%', 'Value': '59,208,845,554'}","{'Shares': '212,450,743', 'Date Reported': 'Sep 29, 2023', '% Out': '3.59%', 'Value': '30,609,903,440'}","{'Shares': '123,403,812', 'Date Reported': 'Sep 29, 2023', '% Out': '2.09%', 'Value': '17,780,021,458'}",,"{'Shares': '110,544,181', 'Date Reported': 'Dec 30, 2023', '% Out': '1.87%', 'Value': '15,927,205,800'}","{'Shares': '111,257,729', 'Date Reported': 'Sep 29, 2023', '% Out': '1.88%', 'Value': '16,030,013,798'}","{'Shares': '227,317,469', 'Date Reported': 'Sep 29, 2023', '% Out': '3.84%', 'Value': '32,751,901,349'}",,"{'Shares': '67,684,197', 'Date Reported': 'Sep 29, 2023', '% Out': '1.14%', 'Value': '9,751,939,227'}"
"PayPal Holdings, Inc. (PYPL)",0.22%,71.11%,71.27%,"2,537","{'Shares': '91,219,038', 'Date Reported': 'Sep 29, 2023', '% Out': '8.51%', 'Value': '5,313,207,966'}","{'Shares': '71,704,127', 'Date Reported': 'Sep 29, 2023', '% Out': '6.69%', 'Value': '4,176,528,794'}","{'Shares': '43,975,005', 'Date Reported': 'Sep 29, 2023', '% Out': '4.10%', 'Value': '2,561,398,936'}","{'Shares': '21,168,228', 'Date Reported': 'Sep 29, 2023', '% Out': '1.98%', 'Value': '1,232,979,431'}",,"{'Shares': '12,205,841', 'Date Reported': 'Dec 30, 2023', '% Out': '1.14%', 'Value': '710,949,962'}","{'Shares': '20,069,337', 'Date Reported': 'Sep 29, 2023', '% Out': '1.87%', 'Value': '1,168,972,657'}",,,"{'Shares': '11,767,054', 'Date Reported': 'Sep 29, 2023', '% Out': '1.10%', 'Value': '685,392,067'}"
The Walt Disney Company (DIS),0.06%,65.14%,65.17%,"3,739","{'Shares': '149,887,754', 'Date Reported': 'Sep 29, 2023', '% Out': '8.17%', 'Value': '16,456,925,675'}","{'Shares': '118,691,454', 'Date Reported': 'Sep 29, 2023', '% Out': '6.47%', 'Value': '13,031,727,974'}","{'Shares': '72,607,200', 'Date Reported': 'Sep 29, 2023', '% Out': '3.96%', 'Value': '7,971,907,391'}","{'Shares': '33,935,205', 'Date Reported': 'Sep 29, 2023', '% Out': '1.85%', 'Value': '3,725,915,770'}",,"{'Shares': '21,471,340', 'Date Reported': 'Dec 30, 2023', '% Out': '1.17%', 'Value': '2,357,445,735'}","{'Shares': '44,318,444', 'Date Reported': 'Sep 29, 2023', '% Out': '2.42%', 'Value': '4,865,943,477'}",,,"{'Shares': '24,859,476', 'Date Reported': 'Sep 29, 2023', '% Out': '1.36%', 'Value': '2,729,446,121'}"
NVIDIA Corporation (NVDA),4.05%,68.55%,71.45%,"4,992","{'Shares': '203,680,199', 'Date Reported': 'Sep 29, 2023', '% Out': '8.25%', 'Value': '146,070,477,987'}","{'Shares': '179,720,414', 'Date Reported': 'Sep 29, 2023', '% Out': '7.28%', 'Value': '128,887,574,275'}","{'Shares': '88,686,291', 'Date Reported': 'Sep 29, 2023', '% Out': '3.59%', 'Value': '63,601,906,228'}","{'Shares': '48,513,118', 'Date Reported': 'Sep 29, 2023', '% Out': '1.96%', 'Value': '34,791,473,936'}",,"{'Shares': '29,494,708', 'Date Reported': 'Dec 30, 2023', '% Out': '1.19%', 'Value': '21,152,306,983'}","{'Shares': '32,704,840', 'Date Reported': 'Sep 29, 2023', '% Out': '1.32%', 'Value': '23,454,472,426'}","{'Shares': '129,017,848', 'Date Reported': 'Sep 29, 2023', '% Out': '5.22%', 'Value': '92,525,924,556'}","{'Shares': '36,613,581', 'Date Reported': 'Dec 30, 2023', '% Out': '1.48%', 'Value': '26,257,649,510'}","{'Shares': '26,311,434', 'Date Reported': 'Sep 29, 2023', '% Out': '1.07%', 'Value': '18,869,402,915'}"
Microsoft Corporation (MSFT),0.06%,73.14%,73.18%,"6,570","{'Shares': '649,207,002', 'Date Reported': 'Sep 29, 2023', '% Out': '8.74%', 'Value': '263,130,088,395'}","{'Shares': '533,634,606', 'Date Reported': 'Sep 29, 2023', '% Out': '7.18%', 'Value': '216,287,440,855'}","{'Shares': '288,457,142', 'Date Reported': 'Sep 29, 2023', '% Out': '3.88%', 'Value': '116,914,563,519'}","{'Shares': '151,218,886', 'Date Reported': 'Sep 29, 2023', '% Out': '2.04%', 'Value': '61,290,526,315'}","{'Shares': '88,620,338', 'Date Reported': 'Sep 29, 2023', '% Out': '1.19%', 'Value': '35,918,708,978'}","{'Shares': '95,521,879', 'Date Reported': 'Dec 30, 2023', '% Out': '1.29%', 'Value': '38,715,972,544'}","{'Shares': '123,130,465', 'Date Reported': 'Sep 29, 2023', '% Out': '1.66%', 'Value': '49,906,008,468'}","{'Shares': '215,874,152', 'Date Reported': 'Sep 29, 2023', '% Out': '2.91%', 'Value': '87,495,952,020'}","{'Shares': '124,050,575', 'Date Reported': 'Dec 30, 2023', '% Out': '1.67%', 'Value': '50,278,938,250'}",
"Meta Platforms, Inc. (META)",0.18%,79.05%,79.19%,"4,555","{'Shares': '183,244,796', 'Date Reported': 'Sep 29, 2023', '% Out': '8.33%', 'Value': '84,447,448,236'}","{'Shares': '155,965,211', 'Date Reported': 'Sep 29, 2023', '% Out': '7.09%', 'Value': '71,875,787,853'}","{'Shares': '86,053,863', 'Date Reported': 'Sep 29, 2023', '% Out': '3.91%', 'Value': '39,657,492,599'}","{'Shares': '45,197,719', 'Date Reported': 'Sep 29, 2023', '% Out': '2.05%', 'Value': '20,829,142,867'}","{'Shares': '37,127,022', 'Date Reported': 'Sep 29, 2023', '% Out': '1.69%', 'Value': '17,109,802,498'}",,"{'Shares': '36,277,772', 'Date Reported': 'Sep 29, 2023', '% Out': '1.65%', 'Value': '16,718,429,881'}","{'Shares': '130,809,908', 'Date Reported': 'Sep 29, 2023', '% Out': '5.95%', 'Value': '60,283,092,211'}","{'Shares': '49,077,756', 'Date Reported': 'Dec 30, 2023', '% Out': '2.23%', 'Value': '22,617,238,523'}",
